Cordinates,Unnamed: 1,TEHSIL,District,STATE,merged_column,clean_coords,lat,lon,label,Exposure
,,SUNDAR NAGAR,MANDI,HIMACHAL PRADESH,"31.52735382, 76.8499","31.52735382, 76.8499",31.52735382,76.8499,2,At Risk
"30.6044302372, 77.6737",,KAMRAU,SIRMAUR,HIMACHAL PRADESH,,"30.6044302372, 77.6737",30.6044302372,77.6737,2,At Risk
"32.5542878477, 75.9506",,DALHOUSIE,CHAMBA,HIMACHAL PRADESH,,"32.5542878477, 75.9506",32.5542878477,75.9506,2,At Risk
"30.850511324, 76.9591",,KASAULI,SOLAN,HIMACHAL PRADESH,,"30.850511324, 76.9591",30.850511324,76.9591,2,At Risk
,,BALICHAUKI,MANDI,HIMACHAL PRADESH,"31.71492475, 76.9357","31.71492475, 76.9357",31.71492475,76.9357,2,At Risk
"31.5735045837, 77.9677",,NICHAR,KINNAUR,HIMACHAL PRADESH,,"31.5735045837, 77.9677",31.5735045837,77.9677,2,At Risk
"31.717956776, 77.2407",,SAINJ,KULLU,HIMACHAL PRADESH,,"31.717956776, 77.2407",31.717956776,77.2407,2,At Risk
"31.0078227706, 77.0953",,KANDAGHAT,SOLAN,HIMACHAL PRADESH,,"31.0078227706, 77.0953",31.0078227706,77.0953,2,At Risk
"32.4501154768, 75.9383",,BHATTIYAT,CHAMBA,HIMACHAL PRADESH,,"32.4501154768, 75.9383",32.4501154768,75.9383,2,At Risk
"32.2134368537, 76.3695",,DHARMSHALA,KANGRA,HIMACHAL PRADESH,,"32.2134368537, 76.3695",32.2134368537,76.3695,2,At Risk
,,KOTLI,MANDI,HIMACHAL PRADESH,"31.75553487, 76.8601","31.75553487, 76.8601",31.75553487,76.8601,2,At Risk
"30.7298931512, 77.1775",,PACHHAD,SIRMAUR,HIMACHAL PRADESH,,"30.7298931512, 77.1775",30.7298931512,77.1775,2,At Risk
"31.5201264672, 77.767",,RAMPUR,SHIMLA,HIMACHAL PRADESH,,"31.5201264672, 77.767",31.5201264672,77.767,2,At Risk
,,PADHAR,MANDI,HIMACHAL PRADESH,"31.87647659, 76.917","31.87647659, 76.917",31.87647659,76.917,2,At Risk
"31.9165547487, 77.1292",,BHUNTAR,KULLU,HIMACHAL PRADESH,,"31.9165547487, 77.1292",31.9165547487,77.1292,2,At Risk
"31.9656925976, 77.1093",,KULLU,KULLU,HIMACHAL PRADESH,,"31.9656925976, 77.1093",31.9656925976,77.1093,2,At Risk
"31.0629296112, 77.1786",,SHIMLA,SHIMLA,HIMACHAL PRADESH,,"31.0629296112, 77.1786",31.0629296112,77.1786,2,At Risk
"31.4875711457, 77.6945",,RAMPUR,SHIMLA,HIMACHAL PRADESH,,"31.4875711457, 77.6945",31.4875711457,77.6945,2,At Risk
,,BALICHAUKI,MANDI,HIMACHAL PRADESH,"31.71512842, 76.9323","31.71512842, 76.9323",31.71512842,76.9323,2,At Risk
,,JOGINDAR NAGAR,MANDI,HIMACHAL PRADESH,"31.97596597, 76.8379","31.97596597, 76.8379",31.97596597,76.8379,2,At Risk
