lat,lon,District,TEHSIL,elevation,slope,aspect,roughness,dist_to_road,dist_to_building,dist_to_river,building_density,landuse_type,ndvi,rainfall_7day,rainfall_15day,label,Exposure
30.8193624585,77.0929,SIRMAUR,PACHHAD,1340,31.577278,181.50743,48.0,73.7852934814289,2806.703804116603,1168.3947580958352,0,forest,0.36628976,32.197,70.464,2,At Risk
31.3735737054,77.4918,KULLU,NERMAND,1543,27.831003,130.03026,46.0,99.85806017833964,2282.4778686821537,331.95096341654056,0,forest,0.489011,23.856,52.159,2,At Risk
30.5573389831,77.2943,SIRMAUR,NAHAN,870,18.932432,171.8699,27.0,1.7446977869659737,191.63524217556068,2735.661483255398,14,residential,0.064672485,32.082,70.255,2,At Risk
31.2065766777,77.3963,SHIMLA,THEOG,2440,34.279167,112.306206,55.0,12.51890765996928,661.38632561771,542.9652960891316,1,residential,0.19293208,23.856,52.159,2,At Risk
31.59488514,76.7739,MANDI,BALDWARA,1024,11.905088,175.60129,13.0,9.507088283861195,361.4021172679434,1053.937051325451,1,forest,0.5946508,32.704,71.527,2,At Risk
31.70506794,76.9439,MANDI,BALICHAUKI,842,22.074106,203.49857,35.0,52.45811716838954,313.1216289701686,190.0744667714247,9,residential,0.31717172,31.966,69.861,2,At Risk
31.69193693,76.9217,MANDI,BALICHAUKI,914,23.294239,145.71312,36.0,25.74863029267863,689.9066272351852,1348.998830195796,1,residential,0.10069835,31.966,69.861,2,At Risk
32.5185636721,75.9388,CHAMBA,DALHOUSIE,1387,17.624128,284.74356,29.0,33.49301786583099,2746.5855086795377,311.3556125166023,0,forest,0.42539835,34.019,74.359,2,At Risk
30.514078364,77.3459,SIRMAUR,NAHAN,512,10.085476,0.0,12.0,42.00160611543307,6719.710123377463,127.0783544589863,0,forest,0.50286865,32.082,70.255,2,At Risk
30.8040129604,77.1187,SIRMAUR,PACHHAD,1481,34.0981,220.156,51.0,9.06253144250418,177.41168056370145,1252.981260380181,1,forest,0.2997434,32.197,70.464,2,At Risk
31.1687017437,77.7203,SHIMLA,ROHRU,1641,16.808153,105.52411,33.0,38.87697249160519,1562.9945804549384,434.8124961679071,0,residential,0.5897817,23.856,52.159,2,At Risk
31.4923702189,77.7052,SHIMLA,RAMPUR,1227,11.905088,302.4712,24.0,46.10633824060182,344.0729725233531,102.14788079886243,8,residential,0.27549863,23.856,52.159,2,At Risk
31.70577492,76.9328,MANDI,BALICHAUKI,790,17.794418,40.914383,27.0,81.28701633303305,237.38149573952842,149.06099077311117,25,residential,0.19521117,31.966,69.861,2,At Risk
31.0422598896,77.1264,SHIMLA,SHIMLA,1784,15.596045,349.99203,21.0,63.312091061496425,43.01821995174303,1688.0487151151347,51,forest,0.38799506,28.054,61.396,2,At Risk
32.4587710371,75.931,CHAMBA,BHATTIYAT,1232,30.668274,205.86636,43.0,9.299190115568257,214.34413055264676,198.02113087772193,12,forest,0.5389279,34.019,74.359,2,At Risk
31.69329823,76.9224,MANDI,BALICHAUKI,875,19.279938,56.309933,31.0,33.14696505514514,546.8037031047894,1306.2058959370156,2,residential,0.3074205,31.966,69.861,2,At Risk
31.4988241049,77.7095,SHIMLA,RAMPUR,1166,19.87813,296.56506,29.0,21.525817894043062,67.12478040410201,340.0597974677203,8,residential,0.29831776,23.856,52.159,2,At Risk
